name	taxonomy_id	taxonomy_lvl	SRR24907820.bracken_num	SRR24907820.bracken_frac	SRR24907833.bracken_num	SRR24907833.bracken_frac	SRR24907834.bracken_num	SRR24907834.bracken_frac	SRR24907850.bracken_num	SRR24907850.bracken_frac	SRR24907851.bracken_num	SRR24907851.bracken_frac	SRR24907852.bracken_num	SRR24907852.bracken_frac	SRR24907864.bracken_num	SRR24907864.bracken_frac	SRR24907865.bracken_num	SRR24907865.bracken_frac	SRR24907866.bracken_num	SRR24907866.bracken_frac	SRR24907867.bracken_num	SRR24907867.bracken_frac	SRR24907869.bracken_num	SRR24907869.bracken_frac	SRR24907870.bracken_num	SRR24907870.bracken_frac	SRR24907871.bracken_num	SRR24907871.bracken_frac	SRR24907872.bracken_num	SRR24907872.bracken_frac	SRR24907873.bracken_num	SRR24907873.bracken_frac	SRR24907874.bracken_num	SRR24907874.bracken_frac	SRR24907875.bracken_num	SRR24907875.bracken_frac
Phocaeicola vulgatus	821	S	23791	0.00782	6913	0.00508	1720029	0.12831	795423	0.17135	1247864	0.27371	256820	0.07796	1274681	0.29147	602729	0.18298	408438	0.07181	37038	0.01377	1382473	0.12753	19799	0.00415	1691994	0.14364	218675	0.02615	564688	0.07095	1116169	0.13338	594177	0.09419
Segatella copri	165179	S	6681	0.0022	521927	0.38344	55930	0.00417	1880	0.0004	1511	0.00033	2271	0.00069	1404	0.00032	397	0.00012	2855368	0.502	480	0.00018	2575	0.00024	5735	0.0012	2726	0.00023	5738112	0.68623	660	0.00008	7439	0.00089	8943	0.00142
Bacteroides uniformis	820	S	16759	0.00551	3820	0.00281	1803682	0.13455	435228	0.09375	367616	0.08063	629412	0.19106	341051	0.07799	229390	0.06964	72187	0.01269	447027	0.16615	1443310	0.13314	323096	0.06774	937637	0.0796	29589	0.00354	731893	0.09196	1881373	0.22482	568932	0.09019
Phocaeicola dorei	357276	S	431030	0.14176	1016	0.00075	50326	0.00375	19135	0.00412	35236	0.00773	7158	0.00217	23997	0.00549	9622	0.00292	6199	0.00109	855570	0.31799	13918	0.00128	7080	0.00148	21026	0.00178	173957	0.0208	1563937	0.19651	873197	0.10434	18564	0.00294
Agathobacter rectalis	39491	S	438213	0.14412	3684	0.00271	1437034	0.1072	13298	0.00286	6716	0.00147	5642	0.00171	69493	0.01589	83591	0.02538	139230	0.02448	12051	0.00448	153188	0.01413	4369	0.00092	915055	0.07768	66275	0.00793	130515	0.0164	305271	0.03648	184274	0.02921
Faecalibacterium prausnitzii	853	S	122580	0.04031	36737	0.02699	570408	0.04255	46148	0.00994	82143	0.01802	29652	0.009	83823	0.01917	71443	0.02169	137382	0.02415	117768	0.04377	652007	0.06015	121047	0.02538	587509	0.04988	97250	0.01163	239285	0.03007	84001	0.01004	175027	0.02775
Bacteroides ovatus	28116	S	27615	0.00908	4104	0.00302	108182	0.00807	107739	0.02321	22596	0.00496	95570	0.02901	292895	0.06697	20459	0.00621	26869	0.00472	82281	0.03058	525469	0.04847	129210	0.02709	312043	0.02649	164329	0.01965	240600	0.03023	253672	0.03031	542551	0.08601
Bacteroides cellulosilyticus	246787	S	1753	0.00058	595	0.00044	660628	0.04928	523410	0.11275	121080	0.02656	124777	0.03788	1108	0.00025	2692	0.00082	2160	0.00038	119466	0.0444	1828	0.00017	61316	0.01286	499083	0.04237	3922	0.00047	916373	0.11514	9664	0.00115	3385	0.00054
Bacteroides stercoris	46506	S	3506	0.00115	2107	0.00155	261627	0.01952	5447	0.00117	322196	0.07067	30369	0.00922	1538	0.00035	360787	0.10953	65246	0.01147	1224	0.00045	766718	0.07073	396351	0.0831	167739	0.01424	26522	0.00317	2922	0.00037	105570	0.01262	8343	0.00132
Bacteroides thetaiotaomicron	818	S	32949	0.01084	5677	0.00417	216746	0.01617	391490	0.08433	172764	0.03789	70743	0.02147	53767	0.01229	55702	0.01691	56802	0.00999	83474	0.03102	424279	0.03914	21217	0.00445	226879	0.01926	40677	0.00486	25998	0.00327	465506	0.05563	125147	0.01984
