name	taxonomy_id	taxonomy_lvl	SRR24907818.bracken_num	SRR24907818.bracken_frac	SRR24907819.bracken_num	SRR24907819.bracken_frac	SRR24907821.bracken_num	SRR24907821.bracken_frac	SRR24907822.bracken_num	SRR24907822.bracken_frac	SRR24907824.bracken_num	SRR24907824.bracken_frac	SRR24907826.bracken_num	SRR24907826.bracken_frac	SRR24907829.bracken_num	SRR24907829.bracken_frac	SRR24907830.bracken_num	SRR24907830.bracken_frac	SRR24907831.bracken_num	SRR24907831.bracken_frac	SRR24907835.bracken_num	SRR24907835.bracken_frac	SRR24907837.bracken_num	SRR24907837.bracken_frac	SRR24907838.bracken_num	SRR24907838.bracken_frac	SRR24907839.bracken_num	SRR24907839.bracken_frac	SRR24907842.bracken_num	SRR24907842.bracken_frac	SRR24907843.bracken_num	SRR24907843.bracken_frac	SRR24907844.bracken_num	SRR24907844.bracken_frac	SRR24907846.bracken_num	SRR24907846.bracken_frac	SRR24907848.bracken_num	SRR24907848.bracken_frac	SRR24907849.bracken_num	SRR24907849.bracken_frac	SRR24907853.bracken_num	SRR24907853.bracken_frac	SRR24907855.bracken_num	SRR24907855.bracken_frac	SRR24907856.bracken_num	SRR24907856.bracken_frac	SRR24907857.bracken_num	SRR24907857.bracken_frac	SRR24907858.bracken_num	SRR24907858.bracken_frac	SRR24907859.bracken_num	SRR24907859.bracken_frac	SRR24907861.bracken_num	SRR24907861.bracken_frac	SRR24907862.bracken_num	SRR24907862.bracken_frac
Phocaeicola vulgatus	821	S	2322602	0.11466	581405	0.1975	11174851	0.43845	421249	0.13194	109149	0.06194	1250632	0.17135	245710	0.05761	565018	0.14887	161471	0.05738	509370	0.13067	11620	0.0048	360	0.0001	27641	0.0119	663377	0.03258	712908	0.16306	276346	0.06017	1004359	0.25149	425092	0.14808	189516	0.06032	1479127	0.1964	556440	0.13281	237471	0.10958	81405	0.00574	7054033	0.17644	221857	0.02913	878121	0.21378	8786	0.0029
Bacteroides uniformis	820	S	14709	0.00073	192754	0.06548	180978	0.0071	476354	0.1492	20987	0.01191	250190	0.03428	364645	0.0855	155880	0.04107	264151	0.09387	240250	0.06163	2932	0.00121	157	0.00004	226840	0.09766	579693	0.02847	791666	0.18107	310786	0.06766	519611	0.13011	198287	0.06907	51720	0.01646	754364	0.10017	797207	0.19027	12841	0.00593	6098288	0.43023	6472291	0.16189	222993	0.02928	609689	0.14843	138017	0.0455
Bacteroides stercoris	46506	S	10649	0.00053	769923	0.26154	8979	0.00035	3059	0.00096	435	0.00025	197224	0.02702	2269223	0.53207	923903	0.24343	6824	0.00242	3675	0.00094	1067	0.00044	107	0.00003	57318	0.02468	9277	0.00046	57256	0.0131	1629	0.00035	2034	0.00051	3726	0.0013	11624	0.0037	12919	0.00172	848891	0.20261	2178	0.00101	9541	0.00067	229394	0.00574	3244	0.00043	877498	0.21363	480	0.00016
Bacteroides ovatus	28116	S	45731	0.00226	125448	0.04261	2903123	0.11391	126266	0.03955	17361	0.00985	37389	0.00512	84916	0.01991	318999	0.08405	16902	0.00601	92592	0.02375	151300	0.06249	49	0.00001	36492	0.01571	196367	0.00964	28310	0.00648	115737	0.0252	494100	0.12372	77027	0.02683	3787	0.00121	178586	0.02371	16514	0.00394	621504	0.28679	47870	0.00338	1289077	0.03224	2087501	0.2741	93341	0.02272	13832	0.00456
Phocaeicola dorei	357276	S	25078	0.00124	95260	0.03236	1890327	0.07417	7527	0.00236	36221	0.02056	167187	0.02291	14230	0.00334	13472	0.00355	335605	0.11926	73275	0.0188	756888	0.31262	51	0.00001	8118	0.00349	22677	0.00111	15234	0.00348	6770	0.00147	15820	0.00396	12826	0.00447	4678	0.00149	111048	0.01475	413521	0.0987	5596	0.00258	27744	0.00196	106124	0.00265	985018	0.12934	65128	0.01586	113419	0.03739
Parabacteroides distasonis	823	S	29032	0.00143	66996	0.02276	1257052	0.04932	50587	0.01584	23689	0.01344	102019	0.01398	38251	0.00897	189527	0.04994	14514	0.00516	103314	0.0265	57173	0.02361	64	0.00002	13210	0.00569	1328110	0.06522	278350	0.06366	124994	0.02721	10633	0.00266	217218	0.07567	38113	0.01213	535731	0.07114	218552	0.05216	188615	0.08704	73604	0.00519	1641903	0.04107	7946	0.00104	56161	0.01367	44302	0.01461
Bacteroides thetaiotaomicron	818	S	29363	0.00145	43070	0.01463	144901	0.00569	161283	0.05051	7375	0.00419	23979	0.00329	43863	0.01028	230369	0.0607	85599	0.03042	229308	0.05882	14685	0.00607	70	0.00002	12271	0.00528	526404	0.02585	21358	0.00489	17158	0.00374	13143	0.00329	101138	0.03523	46266	0.01473	113948	0.01513	376302	0.08981	13692	0.00632	1663571	0.11736	1029565	0.02575	800037	0.10505	149293	0.03635	22190	0.00732
Escherichia coli	562	S	129331	0.00638	347	0.00012	3001	0.00012	194994	0.06107	70382	0.03994	14404	0.00197	746	0.00017	37818	0.00996	640	0.00023	19320	0.00496	834	0.00034	1925017	0.52683	40078	0.01725	121864	0.00598	1143	0.00026	16240	0.00354	3486	0.00087	4685	0.00163	838	0.00027	843	0.00011	769	0.00018	4503	0.00208	4565	0.00032	8414	0.00021	3218	0.00042	709	0.00017	7677	0.00253
Bacteroides cellulosilyticus	246787	S	1322657	0.06529	1255	0.00043	9026	0.00035	194883	0.06104	193	0.00011	268162	0.03674	4679	0.0011	11713	0.00309	1406	0.0005	15812	0.00406	186112	0.07687	17	0	340834	0.14674	68126	0.00335	60484	0.01383	444666	0.09681	964	0.00024	1955	0.00068	75311	0.02397	450475	0.05982	3411	0.00081	79542	0.0367	13737	0.00097	866861	0.02168	2564	0.00034	2855	0.0007	395	0.00013
Segatella copri	165179	S	6678	0.00033	330	0.00011	7152	0.00028	958	0.0003	5117	0.0029	305277	0.04183	1381	0.00032	3516	0.00093	1186	0.00042	700536	0.17971	407	0.00017	221	0.00006	567	0.00024	1337558	0.06569	493	0.00011	459	0.0001	1122	0.00028	717	0.00025	1124624	0.35793	4264	0.00057	4447	0.00106	157	0.00007	5832	0.00041	22058	0.00055	3053	0.0004	360	0.00009	450	0.00015
Alistipes finegoldii	214856	S	4303700	0.21245	12297	0.00418	24154	0.00095	36777	0.01152	4390	0.00249	70447	0.00965	1225	0.00029	134943	0.03555	67956	0.02415	31182	0.008	22873	0.00945	178	0.00005	142477	0.06134	62259	0.00306	139961	0.03201	165371	0.036	1575	0.00039	16690	0.00581	39073	0.01244	293565	0.03898	121933	0.0291	9607	0.00443	733459	0.05174	447606	0.0112	221	0.00003	3753	0.00091	113667	0.03747
Alistipes onderdonkii	328813	S	55739	0.00275	422	0.00014	1756970	0.06894	33095	0.01037	4606	0.00261	481438	0.06596	782	0.00018	4104	0.00108	2827	0.001	25338	0.0065	61009	0.0252	54	0.00001	8282	0.00357	60380	0.00297	64574	0.01477	57187	0.01245	814	0.0002	129376	0.04507	91603	0.02915	6575	0.00087	1969	0.00047	154340	0.07122	10379	0.00073	38811	0.00097	1252	0.00016	70352	0.01713	738717	0.24354
Bacteroides fragilis	817	S	75719	0.00374	16391	0.00557	538157	0.02111	69352	0.02172	13625	0.00773	34972	0.00479	37101	0.0087	28200	0.00743	95809	0.03405	25349	0.0065	23379	0.00966	74	0.00002	226650	0.09758	183958	0.00903	277992	0.06358	142834	0.0311	50618	0.01267	50992	0.01776	15709	0.005	180107	0.02392	36644	0.00875	15051	0.00695	210719	0.01487	520599	0.01302	277098	0.03639	74305	0.01809	55879	0.01842
Bacteroides caccae	47678	S	850428	0.04198	146804	0.04987	7000	0.00027	2358	0.00074	223503	0.12684	233911	0.03205	1950	0.00046	7729	0.00204	3995	0.00142	20282	0.0052	44012	0.01818	34	0.00001	1904	0.00082	481254	0.02363	2112	0.00048	1322	0.00029	8033	0.00201	5242	0.00183	40185	0.01279	183982	0.02443	24674	0.00589	196311	0.09059	10824	0.00076	869676	0.02175	13854	0.00182	3962	0.00096	88458	0.02916
Faecalibacterium prausnitzii	853	S	358361	0.01769	2838	0.00096	147339	0.00578	13290	0.00416	45208	0.02566	318249	0.0436	29951	0.00702	24262	0.00639	16862	0.00599	122434	0.03141	66365	0.02741	1990	0.00054	35774	0.0154	495209	0.02432	19574	0.00448	162139	0.0353	269037	0.06737	10620	0.0037	59912	0.01907	138934	0.01845	64503	0.01539	33444	0.01543	565727	0.03991	354987	0.00888	103203	0.01355	3076	0.00075	79170	0.0261
Parabacteroides merdae	46503	S	720227	0.03555	70082	0.02381	1721	0.00007	813	0.00025	6330	0.00359	165038	0.02261	61350	0.01438	30097	0.00793	130760	0.04647	138363	0.03549	376	0.00016	51	0.00001	2698	0.00116	1169756	0.05745	732	0.00017	66964	0.01458	683	0.00017	76401	0.02661	64854	0.02064	148404	0.01971	3372	0.0008	132130	0.06097	2693	0.00019	253812	0.00635	7447	0.00098	25211	0.00614	15288	0.00504
Alistipes putredinis	28117	S	10633	0.00052	511	0.00017	2871	0.00011	70102	0.02196	6302	0.00358	371418	0.05089	74741	0.01752	476	0.00013	258011	0.09169	116618	0.02992	557	0.00023	66	0.00002	5319	0.00229	468230	0.02299	2248	0.00051	62792	0.01367	90368	0.02263	42456	0.01479	90833	0.02891	211878	0.02813	568	0.00014	718	0.00033	2707	0.00019	714806	0.01788	91	0.00001	219	0.00005	46170	0.01522
Agathobacter rectalis	39491	S	24867	0.00123	38194	0.01297	146542	0.00575	87642	0.02745	4746	0.00269	49920	0.00684	43791	0.01027	156999	0.04137	3376	0.0012	34081	0.00874	20744	0.00857	573	0.00016	1637	0.0007	101051	0.00496	166306	0.03804	48532	0.01057	208537	0.05222	2667	0.00093	67720	0.02155	101875	0.01353	2208	0.00053	18356	0.00847	254316	0.01794	130016	0.00325	15290	0.00201	127011	0.03092	37112	0.01223
