name	taxonomy_id	taxonomy_lvl	SRR24907823.bracken_num	SRR24907823.bracken_frac	SRR24907825.bracken_num	SRR24907825.bracken_frac	SRR24907828.bracken_num	SRR24907828.bracken_frac	SRR24907832.bracken_num	SRR24907832.bracken_frac	SRR24907836.bracken_num	SRR24907836.bracken_frac	SRR24907840.bracken_num	SRR24907840.bracken_frac	SRR24907841.bracken_num	SRR24907841.bracken_frac	SRR24907845.bracken_num	SRR24907845.bracken_frac	SRR24907847.bracken_num	SRR24907847.bracken_frac	SRR24907854.bracken_num	SRR24907854.bracken_frac	SRR24907860.bracken_num	SRR24907860.bracken_frac	SRR24907863.bracken_num	SRR24907863.bracken_frac	SRR24907868.bracken_num	SRR24907868.bracken_frac
Phocaeicola vulgatus	821	S	51234	0.01718	2542703	0.28583	1617433	0.41056	223911	0.06887	1015262	0.1573	1175	0.00024	686572	0.14942	860213	0.17736	17989	0.00644	18723	0.00497	130960	0.01452	6507	0.00273	969218	0.14969
Phocaeicola dorei	357276	S	599768	0.20116	60606	0.00681	35719	0.00907	66159	0.02035	725989	0.11248	949	0.00019	246766	0.05371	53009	0.01093	461765	0.16534	376283	0.09993	2627622	0.29125	300620	0.12634	18734	0.00289
Bacteroides fragilis	817	S	109629	0.03677	75596	0.0085	17640	0.00448	18373	0.00565	97495	0.01511	3621819	0.7289	58771	0.01279	105851	0.02182	214000	0.07663	19535	0.00519	534550	0.05925	26908	0.01131	140240	0.02166
Bacteroides uniformis	820	S	704032	0.23613	78766	0.00885	409450	0.10393	144054	0.04431	67512	0.01046	2406	0.00048	643444	0.14004	265595	0.05476	90538	0.03242	205282	0.05452	442179	0.04901	275349	0.11572	702856	0.10855
Bacteroides stercoris	46506	S	2887	0.00097	71704	0.00806	3903	0.00099	1414434	0.43502	5778	0.0009	6659	0.00134	274101	0.05965	1015	0.00021	665	0.00024	1777	0.00047	3233	0.00036	141455	0.05945	607867	0.09388
Bacteroides intestinalis	329854	S	5018	0.00168	2548	0.00029	577	0.00015	25332	0.00779	2399	0.00037	123	0.00002	248635	0.05411	3483	0.00072	86008	0.0308	1200597	0.31885	477724	0.05295	171898	0.07225	9509	0.00147
Bacteroides thetaiotaomicron	818	S	18654	0.00626	434086	0.0488	28067	0.00712	146743	0.04513	282998	0.04385	5657	0.00114	101124	0.02201	23561	0.00486	191966	0.06874	513632	0.13641	917132	0.10166	41816	0.01757	38684	0.00597
Bacteroides ovatus	28116	S	10210	0.00342	22056	0.00248	186834	0.04742	105749	0.03252	923235	0.14304	1117	0.00022	39516	0.0086	226826	0.04677	100293	0.03591	23500	0.00624	136135	0.01509	17069	0.00717	366022	0.05653
Bacteroides xylanisolvens	371601	S	13169	0.00442	37707	0.00424	36746	0.00933	43770	0.01346	109012	0.01689	89	0.00002	211973	0.04613	194740	0.04015	316256	0.11324	5332	0.00142	424243	0.04702	11468	0.00482	160677	0.02482
Parabacteroides distasonis	823	S	7844	0.00263	219084	0.02463	111892	0.0284	64726	0.01991	189471	0.02936	1572	0.00032	139942	0.03046	11453	0.00236	123451	0.0442	18045	0.00479	225821	0.02503	130859	0.055	212908	0.03288
Akkermansia muciniphila	239935	S	32750	0.01098	215	0.00002	9519	0.00242	56153	0.01727	188	0.00003	155	0.00003	1058	0.00023	2340	0.00048	289764	0.10375	315020	0.08366	116579	0.01292	24555	0.01032	259	0.00004
Bacteroides cellulosilyticus	246787	S	196512	0.06591	4334	0.00049	2793	0.00071	21993	0.00676	273642	0.0424	1234	0.00025	18632	0.00406	221128	0.04559	10303	0.00369	56873	0.0151	56834	0.0063	78965	0.03319	12583	0.00194
Parabacteroides merdae	46503	S	602	0.0002	196669	0.02211	36205	0.00919	85451	0.02628	276078	0.04277	281	0.00006	84104	0.0183	94754	0.01954	23845	0.00854	1328	0.00035	1135	0.00013	91984	0.03866	212773	0.03286
Bacteroides eggerthii	28111	S	3216	0.00108	3786	0.00043	645650	0.16389	13487	0.00415	2757	0.00043	444	0.00009	11113	0.00242	2395	0.00049	352	0.00013	1141	0.0003	2823	0.00031	100037	0.04204	17417	0.00269
Faecalibacterium prausnitzii	853	S	44453	0.01491	25856	0.00291	6443	0.00164	22486	0.00692	29324	0.00454	2252	0.00045	51966	0.01131	182548	0.03764	41464	0.01485	134221	0.03565	165251	0.01832	21175	0.0089	166621	0.02573
Bacteroides caccae	47678	S	105517	0.03539	343801	0.03865	4423	0.00112	1951	0.0006	212815	0.03297	1817	0.00037	53073	0.01155	59923	0.01235	43944	0.01573	1261	0.00033	5268	0.00058	23818	0.01001	141761	0.02189
Segatella copri	165179	S	1649	0.00055	1578325	0.17742	1388	0.00035	724	0.00022	1490	0.00023	101	0.00002	695	0.00015	3008	0.00062	826	0.0003	934	0.00025	446	0.00005	434	0.00018	3054	0.00047
Agathobacter rectalis	39491	S	124652	0.04181	112451	0.01264	25542	0.00648	3344	0.00103	81134	0.01257	3845	0.00077	132632	0.02887	100361	0.02069	12136	0.00435	15023	0.00399	65915	0.00731	70793	0.02975	25011	0.00386
Alistipes putredinis	28117	S	59307	0.01989	87819	0.00987	80099	0.02033	79899	0.02457	87655	0.01358	0	0	112163	0.02441	4784	0.00099	119091	0.04264	188	0.00005	305	0.00003	34097	0.01433	439	0.00007
Simiaoa sunii	2763672	S	32699	0.01097	5543	0.00062	1637	0.00042	27030	0.00831	805	0.00012	1381	0.00028	17056	0.00371	49765	0.01026	88095	0.03154	83023	0.02205	3862	0.00043	80777	0.03395	60691	0.00937
Bacteroides sp. CACC 737	2755405	S	21172	0.0071	4588	0.00052	5374	0.00136	1701	0.00052	734282	0.11377	0	0	7472	0.00163	954	0.0002	120	0.00004	1852	0.00049	10875	0.00121	5778	0.00243	15892	0.00245
Alistipes onderdonkii	328813	S	143012	0.04797	3804	0.00043	3325	0.00084	28837	0.00887	77681	0.01204	21	0	20044	0.00436	14640	0.00302	3231	0.00116	223	0.00006	8956	0.00099	2139	0.0009	257098	0.03971
Alistipes finegoldii	214856	S	20776	0.00697	1657	0.00019	1446	0.00037	1933	0.00059	20513	0.00318	398	0.00008	1720	0.00037	5297	0.00109	59985	0.02148	81	0.00002	580077	0.0643	35117	0.01476	11979	0.00185
Segatella hominis	2518605	S	28	0.00001	889113	0.09995	41	0.00001	54	0.00002	106	0.00002	12	0	88	0.00002	83	0.00002	126	0.00005	87	0.00002	36	0	68	0.00003	508	0.00008
Alistipes shahii	328814	S	7566	0.00254	11861	0.00133	42491	0.01079	39053	0.01201	26001	0.00403	0	0	81747	0.01779	171990	0.03546	23994	0.00859	429	0.00011	5504	0.00061	2594	0.00109	6022	0.00093
